trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.026204505914936217}",30,9,40.87617456121843,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.024894280619189402}",20,13,14.00527328717123,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.023649566588229934}",20,0,28.17784414746372,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.022467088258818435}",20,10,20.64173937634514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.02134373384587751}",25,16,16.271083765688612,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.020276547153583634}",20,10,17.84473517750104,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.01926271979590445}",20,8,24.9332583076084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.01829958380610923}",30,6,38.845249813007705,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.017384604615803767}",25,13,20.83162435560251,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.01651537438501358}",30,18,19.747953473185166,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.0156896056657629}",25,14,24.808765651584764,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.014905125382474753}",20,8,22.690393844371616,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.014159869113351015}",20,13,13.751588062433852,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.013451875657683464}",25,0,36.83922898317209,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.012779281874799289}",25,11,22.219735275474665,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.012140317781059324}",20,14,-32.0027678676208,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.011533301892006357}",25,3,16.84279530688343,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.01095663679740604}",20,0,28.243917374968472,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.010408804957535737}",20,0,27.968865802364913,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.00988836470965895}",20,0,28.897362977876668,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.009393946474176}",20,8,21.717201970126588,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.008924249150467202}",20,0,26.946233847021745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.00847803669294384}",30,22,11.606713920400153,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.008054134858296648}",25,4,25.693269815952412,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.007651428115381815}",25,7,30.379645863196586,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.007268856709612724}",25,11,27.03842242913242,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.006905413874132088}",20,8,20.580558662240215,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.006560143180425483}",25,14,18.45288243270747,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.006232136021404208}",25,9,31.02400554385955,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.0059205292203339975}",25,13,18.543696279695155,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.005624502759317297}",20,0,34.38194542314783,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.0053432776213514326}",25,11,26.576067736339116,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.00507611374028386}",30,10,32.944589233295254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.004822308053269667}",20,9,18.79709783830831,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.004581192650606184}",35,15,31.903737415226562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.004352133018075874}",20,0,23.587251587876537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.00413452636717208}",20,9,17.819050820618124,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.003927800048813476}",30,16,21.268815248505767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.0037314100463728024}",20,6,22.134185721896387,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.003544839544054162}",25,10,25.637420669394142,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.0033675975668514537}",20,12,15.120575566165767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.003199217688508881}",35,27,17.214708237610374,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.0030392568040834367}",35,25,16.874615847751006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.0028872939638792646}",30,24,10.4114078611614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.0027429292656853013}",20,0,26.22016357992411,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.0026057828024010363}",25,18,13.237967351382354,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.0024754936622809844}",20,2,27.61704941027766,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.002351718979166935}",25,13,21.44072556023516,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.002234133030208588}",20,14,10.079403215609183,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.0021224263786981585}",20,5,24.053061419192797,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.0020163050597632507}",30,13,28.651064302082524,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.001915489806775088}",25,17,16.242251421757057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.0018197153164363335}",20,14,7.928958933339793,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.0017287295506145167}",20,8,18.06586468851105,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.0016422930730837907}",20,6,24.384758355125925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.0015601784194296012}",30,16,24.20913469599719,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.0014821694984581211}",25,11,26.416489850955255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.001408061023535215}",30,20,21.621895246393912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.001337657972358454}",25,10,26.97384208473732,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.0012707750737405313}",20,0,26.446395720830914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.0012072363200535047}",20,6,21.801710761626527,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.0011468745040508295}",20,8,20.208223819826905,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.001089530778848288}",20,16,9.74937017435968,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.0010350542399058735}",30,15,26.048193802544404,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.0009833015279105798}",25,8,32.684321788354296,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.0009341364515150507}",20,7,23.4206261767224,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.0008874296289392981}",25,13,23.568888902742092,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.0008430581474923332}",35,0,54.12432427640039,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.0008009052401177165}",20,11,12.834618180978985,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.0007608599781118307}",20,12,14.948855462433663,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.0007228169792062391}",20,5,27.39101531004912,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.0006866761302459271}",20,11,14.100159766754267,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.0006523423237336307}",30,10,30.690590383763524,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.0006197252075469491}",30,16,29.276428069764055,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.0005887389471696016}",30,19,-24.629229637825414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.0005593019998111216}",25,15,-1.5526981524932468,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.0005313368998205655}",20,14,10.449999526880688,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.0005047700548295372}",20,11,16.74516779869491,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.00047953155208806027}",20,14,10.040456969593485,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.00045555497448365723}",25,13,26.770975827610993,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.00043277722575947434}",25,15,21.19676228854702,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.00041113836447150063}",25,2,34.7842955508432,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.0003905814462479256}",30,18,23.606632944193112,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.00037105237393552927}",20,9,16.84572581408524,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.0003524997552387528}",25,12,27.358292101924608,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.00033487476747681515}",25,13,18.75017934728618,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.00031813102910297435}",25,8,27.651963248942906,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.0003022244776478256}",25,14,20.54288500058138,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.00028711325376543437}",20,0,28.823802253758508,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.00027275759107716263}",20,14,11.36849381622364,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.00025911971152330445}",25,11,-17.041435232708412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.00024616372594713924}",25,15,20.72565059907464,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.00023385553964978226}",20,7,20.06824776621836,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.00022216276266729315}",25,14,22.620063324077805,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.00021105462453392847}",20,10,17.86981224175434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.00020050189330723204}",20,9,20.502389159528683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
